,ben_picks,gabe_picks,bet_type
268,titans,texans,line
269,jets,bills,line
270,bengals,ravens,line
271,redskins,giants,line
272,packers,lions,line
273,colts,jags,line
274,eagles,cowboys,line
275,vikings,bears,line
276,panthers,buccs,line
277,steelers,browns,line
278,falcons,saints,line
279,dolphins,pats,line
280,cards,rams,line
281,chiefs,chargers,line
282,seahawks,49ers,line
283,broncos,raiders,line
284,texans,raiders,line
285,lions,seahawks,line
286,dolphins,steelers,line
287,packers,giants,line
288,clemson,bama,line
289,toronto,utah,line
290,seahwaks,falcons,line
291,texans,pats,line
292,chiefs,steelers,line
293,packers,cowboys,line
294,okc,gs,line
295,packers,falcons,line
296,pats,steelers,line
297,packers,falcons,line
298,pats,steelers,line
299,toronto,hornets,line
300,toronto,suns,line
301,toronto,milwak,line
302,cavs,pacers,line
303,memphis,saints,line
304,raptors,milwak,line
305,la,utah,line
306,portland,gs,line
307,okc,houston,line
308,cleveland,indiana,line
309,toronto,milwak,line
310,sa,memphis,line
311,chicago,celtics,line
312,okc,houston,line
313,la,utah,line
314,cleveland,indiana,line
315,houston,okc,line
316,celtics,bulls,line
317,la,utah,line
318,milwak,toronto,line
319,washington,atlanta,line
320,gs,portland,line
321,sa,memphis,line
322,okc,houston,line
323,la,utah,line
324,boston,chicago,line
325,washington,atlanta,line
326,toronto,milwak,line
327,sa,memphis,line
328,la,utah,line
329,boston,chicago,line
330,boston,washington,line
331,utah,gs,line
332,toronto,cleveland,line
333,texans,saints,line
334,sa,gs,line
335,boston,wash,line
336,boston,wash,over
337,sa,gs,line
338,sa,gs,under
339,cavs,boston,line
340,cavs,boston,under
341,cavs,boston,line
342,sa,gs,line
343,sa,gs,over
344,sa,gs,line
345,cleveland,boston,line
346,cleveland,boston,under
347,cleveland,boston,line
348,cleveland,boston,under
349,cleveland,gs,line
350,cleveland,gs,under
